Threshold,precision,recall,f1,accuracy,threshold,CARE
Standard (P95),0.7136025504782146,0.17242486102016974,0.2777404378082702,0.5593901392813888,0.6996122598648071,0.5424194249438321
Induced (P95 induced),0.7893145161290323,0.07036937179832839,0.12921858239128642,0.5340192268873637,0.8435684442520142,0.5452847470141104
Adaptive (P50_ind+gamma),0.8325508607198748,0.020490698301428956,0.039996992707315236,0.5167162898667743,1.2539063661775436,0.5315316654568998
