sample_idx,feature,importance,rank
52,sensor_191_std,0.3533884882926941,1
52,sensor_46_std,0.3197876214981079,2
52,sensor_61_std,0.22853176295757294,3
52,sensor_195_std,0.22552338242530823,4
52,sensor_197_std,0.19106553494930267,5
52,sensor_193_std,0.18074831366539001,6
52,sensor_196_std,0.1446852684020996,7
52,sensor_141_std,0.0895942896604538,8
52,sensor_7_std,0.05528411269187927,9
52,sensor_140_std,0.0013320875586941838,10
52,sensor_165_std,0.0005017351941205561,11
52,sensor_135_avg,0.0004803564806934446,12
52,sensor_23_avg,0.00046986486995592713,13
52,reactive_power_119_min_roll6_std,0.0004661447019316256,14
52,sensor_42_std,0.00046159839257597923,15
53,sensor_88_std,18.963205337524414,1
53,sensor_88_max,2.320929765701294,2
53,sensor_88_avg,1.3198155164718628,3
53,sensor_197_std,0.954322338104248,4
53,sensor_89_avg,0.8041765689849854,5
53,sensor_89_min,0.7442216873168945,6
53,sensor_89_max,0.5996487140655518,7
53,sensor_7_std,0.5680214166641235,8
53,sensor_191_std,0.49051788449287415,9
53,sensor_61_std,0.38044971227645874,10
53,sensor_192_std,0.37849101424217224,11
53,sensor_141_std,0.3196546137332916,12
53,sensor_140_std,0.23069189488887787,13
53,sensor_53_std,0.20734161138534546,14
53,sensor_205_std,0.20454032719135284,15
54,sensor_88_std,19.173276901245117,1
54,sensor_23_max,3.453493595123291,2
54,sensor_80_max,2.3180103302001953,3
54,sensor_78_max,2.3054001331329346,4
54,sensor_88_max,2.264556646347046,5
54,sensor_88_avg,1.3628801107406616,6
54,sensor_89_avg,0.7618342638015747,7
54,sensor_89_min,0.7289214134216309,8
54,sensor_89_max,0.579737663269043,9
54,sensor_15_std,0.45503443479537964,10
54,sensor_61_std,0.38880518078804016,11
54,sensor_196_std,0.3521975576877594,12
54,sensor_191_std,0.3184823989868164,13
54,sensor_182_std,0.2840970456600189,14
54,sensor_47_std,0.18691565096378326,15
55,sensor_88_std,18.79582977294922,1
55,sensor_23_max,3.4292383193969727,2
55,sensor_88_max,2.348027229309082,3
55,sensor_80_max,2.2218410968780518,4
55,sensor_78_max,2.2078404426574707,5
55,sensor_88_avg,1.2541183233261108,6
55,sensor_191_std,0.8380033373832703,7
55,sensor_89_avg,0.6442883014678955,8
55,sensor_89_min,0.6173506379127502,9
55,sensor_89_max,0.510188102722168,10
55,sensor_192_std,0.4686734974384308,11
55,sensor_197_std,0.4102412760257721,12
55,sensor_61_std,0.2830051779747009,13
